107.4,223,0,-2.8,10,10,10
101.1,347,-4.2,3.8,9,9,10
105.6,800,3.3,10,9,9,10
107,1319,4.6,14,9,9,10
106.7,825,2.6,10.4,9,9,10
103.7,2109,-8,17.6,9,9,10
106.2,804,1.8,10.3,9,9,10
94.2,1215,4.4,14.4,8,8,10
99.6,891,3.1,11.7,8,8,10
93.7,766,0.1,11.3,8,8,10
101.1,1945,3.3,18.5,8,8,10
93.7,1123,-1.3,14.4,8,8,10
94.3,844,2.8,11.6,8,8,10
95.5,1345,3.9,15.5,8,8,10
94.8,1358,-0.7,16.2,8,8,10
95.6,850,2.5,11.6,8,8,10
88.6,2415,-1.9,22,7,7,10
88.9,2592,5.1,22.2,7,7,10
86.1,1954,4,20.2,7,7,10
84.4,1634,4.2,18.6,7,7,10
87.9,2291,5.1,21.3,7,7,10
91.4,2422,1.1,21.9,7,7,10
79.3,2687,5.8,23.6,6,6,10
82.3,2875,5,24,6,6,10
82.8,2854,0.7,24.3,6,6,10
86.8,3371,6.8,24.3,6,6,10
83.7,3032,6,24.1,6,6,10
82.3,2585,-1.1,23.7,6,6,10
82.2,2846,5.1,23.9,6,6,10
101.7,1972,0.2,18.9,8,8,9
101.1,1562,0.4,16.7,8,8,9
96,856,-0.8,11.9,8,8,9
92.5,575,2,8.9,8,8,9
96.1,967,2.8,12.6,8,8,9
99.2,1374,0.4,15.8,8,8,9
98.9,1337,0.5,15.5,8,8,9
96.4,1136,4,13.9,8,8,9
102,1957,1.2,18.7,8,8,9
96.2,707,3.6,9.7,8,8,9
102.2,1878,1.4,18.2,8,8,9
94.3,739,3.7,10.2,8,8,9
79.1,2484,-0.8,23.5,7,7,9
79.5,2513,5.2,23.1,7,7,9
78.6,2507,0.1,23.7,7,7,9
77.1,2279,-1.2,23,7,7,9
79.4,2284,0.9,22.7,7,7,9
82.3,2634,1.1,23.7,7,7,9
82.4,2685,-1.8,23.8,7,7,9
83,2744,4.9,23.4,7,7,9
81.9,2643,5,23.2,7,7,9
79,2374,6,22.2,7,7,9
83.8,2698,-0.9,23.7,7,7,9
74.6,2434,-0.3,23.9,6,6,9
76.2,2691,7.9,22.9,6,6,9
79.3,3048,5.6,24.7,6,6,9
77.6,2964,6.1,24.4,6,6,9
79.5,3071,6.5,24.2,6,6,9
78.6,3070,1,25.6,6,6,9
80,3141,4.7,25.1,6,6,9
78.1,3005,0.4,25.2,6,6,9
76.7,2688,1.1,24.5,6,6,9
75.2,2738,6.9,23.8,6,6,9
71.5,3364,0.3,27.1,5,5,9
70.5,3222,6.2,26,5,5,9
69.3,2997,0.3,26.3,5,5,9
72.9,3010,1.3,26,5,5,9
71.2,3057,5.4,25.8,5,5,9
69.2,2845,0.4,25.9,5,5,9
65.1,3407,-0.2,27.8,5,5,9
73.6,3482,0.8,27,5,5,9
71.9,3303,0.9,26.8,5,5,9
80.2,1980,-0.5,21.3,7,7,8
79.9,1982,4.6,20.8,7,7,8
77.9,2035,0.8,21.8,7,7,8
80.7,1975,6,20.2,7,7,8
79.1,1984,1.7,21.1,7,7,8
80.9,1865,0.9,20.7,7,7,8
78.8,2080,2.8,21.7,7,7,8
80.2,1932,5.6,20.1,7,7,8
79.4,1986,2.4,21,7,7,8
69.8,2037,4.8,22.3,7,7,8
78.7,2071,5.6,20.9,7,7,8
79.1,1996,0.7,21.5,7,7,8
76.6,2394,0.8,23.5,6,6,8
75.5,2404,0.4,23.8,6,6,8
76.3,2335,3.3,23.3,6,6,8
75.6,2377,0.9,23.6,6,6,8
75.6,2350,2.5,23.5,6,6,8
78.1,2339,0.6,23.2,6,6,8
74.6,2429,0.9,24,6,6,8
75.2,2405,6.1,23.2,6,6,8
76,2410,5.6,23,6,6,8
75.4,2296,5.7,17,6,6,8
70.6,3012,6.5,25.2,5,5,8
71.7,2870,4.7,25.2,5,5,8
71.9,2994,-1.1,26.2,5,5,8
70.4,2933,7.5,25,5,5,8
71.9,3060,1.6,26.4,5,5,8
72,2959,2.5,26,5,5,8
71.7,2979,3,26.1,5,5,8
71.2,2961,6.8,25.4,5,5,8
71.4,3046,2.9,26.5,5,5,8
71.9,3046,7.2,25.4,5,5,8
70.6,1551,5.8,20,6,6,7
71.2,1504,1,20.1,6,6,7
71.8,1429,2.4,19.3,6,6,7
71.9,1477,1.7,19.8,6,6,7
71.2,1394,1.3,19.1,6,6,7
70.4,1367,5.6,18.3,6,6,7
71.8,1531,-0.1,20.1,6,6,7
70.9,1470,5.6,18.9,6,6,7
71.6,1444,5.4,18.8,6,6,7
70.5,1547,6.8,19.2,6,6,7
72.2,1516,0.8,20,6,6,7
88.7,1688,2,18.5,8,8,9
88.8,1620,4.2,17.9,8,8,9
88.6,1523,3.5,17.5,8,8,9
88.1,1621,-0.8,18.5,8,8,9
87.3,1653,-1.2,18.8,8,8,9
87.3,1714,-2.9,18.9,8,8,9
91.4,1594,0.3,18.1,8,8,9
88.2,1609,4.8,17.7,8,8,9
89.6,1669,4.3,18,8,8,9
89.4,1702,-3.3,18.5,8,8,9
88,1530,-3.9,17.7,8,8,9
81.4,2278,4.1,22,7,7,9
80.1,2279,1.6,22.5,7,7,9
85,2561,0.4,23.2,7,7,9
83.9,2532,4.7,22.6,7,7,9
82.6,2538,0.8,23.3,7,7,9
82.8,2559,0.9,23.5,7,7,9
82.6,2317,2,22.4,7,7,9
82.1,2426,-0.6,23.1,7,7,9
80.7,2172,-0.9,22.1,7,7,9
82.7,2333,-3.8,22.5,7,7,9
82.3,2380,0.8,22.9,7,7,9
95.5,578,0.9,9,9,9,10
98.3,657,2.8,9.3,9,9,10
95,480,5.3,5.8,9,9,10
96.6,746,-0.3,10.9,9,9,10
95.6,446,2.6,6.9,9,9,10
94.7,405,2.2,6.5,9,9,10
95.3,488,2.8,7.6,9,9,10
95.7,444,2.1,7.2,9,9,10
97.4,868,4.1,11.3,9,9,10
93.6,188,1.1,3.5,9,9,10
87.5,1496,-0.6,17.8,8,8,10
89.8,1593,0.3,18.3,8,8,10
87.7,1458,0.2,17.5,8,8,10
87.5,1568,-4,17.9,8,8,10
87.1,1149,-0.6,15.4,8,8,10
88.3,1651,6.1,17.9,8,8,10
86.9,1380,0.5,17.1,8,8,10
91.3,1796,-0.6,19.3,8,8,10
88.9,1910,5.6,19.1,8,8,10
91.4,1666,1,18.6,8,8,10
89.3,1640,1.1,18.6,8,8,10
81.5,2314,6.5,21.7,7,7,10
81.5,2331,-1.4,22.8,7,7,10
83,2642,0.4,23.8,7,7,10
83.1,2418,6.4,21.9,7,7,10
81.9,2437,-0.5,23.2,7,7,10
83.4,2426,6.5,22.1,7,7,10
80.2,2236,-1.5,22.7,7,7,10
82.7,2622,0.2,23.6,7,7,10
84.9,2505,0.6,23.1,7,7,10
81.9,2259,-0.8,22.5,7,7,10
83.4,2565,1.3,23.2,7,7,10
75.1,2848,6.7,24.7,6,6,10
78.6,3059,2.2,25.4,6,6,10
77.2,3050,4.5,25.2,6,6,10
73.2,2493,0,24.3,6,6,10
75.2,2746,1.1,25,6,6,10
79.5,3311,3,25.8,6,6,10
76.3,2932,1.9,25.3,6,6,10
77.1,2766,15.8,17.9,6,6,10
77,2923,2.4,25.1,6,6,10
78.6,3143,1.1,25.6,6,6,10
75.8,3469,0.5,27.3,5,5,10
70.6,3042,-0.2,26.3,5,5,10
70.3,2825,0,25.9,5,5,10
69.3,3098,0.9,26.8,5,5,10
71.1,3377,0.5,27.6,5,5,10
71.2,3235,0.2,26.9,5,5,10
71.7,3153,1.3,26.4,5,5,10
72.6,3487,0.2,27.4,5,5,10
71.8,3399,0.3,27.2,5,5,10
71.8,3399,0.3,27.2,5,5,10
58.6,2849,5.5,26.9,4,4,10
61.1,3303,0.7,28.3,4,4,10
61,3104,0.8,27.6,4,4,10
60.7,3080,4.5,27.2,4,4,10
60.9,3046,3.2,27.2,4,4,10
62.8,3415,0.3,28.3,4,4,10
61.1,3029,2,27.4,4,4,10
